27.11   8.16___14:16:39 1       0     1     27.11+++   1     
2.5     8.16___14:16:58 2       0     2     14.8+++   2     
9       8.16___14:17:26 3       0     3     9+++   3     
1       8.16___14:17:37 4       1     3     5.75---   2     
1.72    8.16___14:17:53 5       2     3     2.5---   1     
2.66    8.16___14:30:47 42      23    19    1.84    +++   -4    
1.87    8.16___14:31:3  43      24    19    1.85    ---   -5    
13.45   8.16___14:31:36 44      24    20    1.86    +++   -4    
21.22   8.16___14:32:15 45      24    21    1.87    +++   -3    
5.23    8.16___14:32:38 46      24    22    1.91    +++   -2    
1.26    8.16___14:32:52 47      25    22    1.87    ---   -3    
2.53    8.16___14:33:11 48      25    23    1.91    +++   -2    
1.22    8.16___14:33:24 49      26    23    1.87    ---   -3    
3.47    8.16___14:33:45 50      26    24    1.91    +++   -2    
19.64   8.16___14:34:22 51      26    25    1.95    +++   -1    
3.77    8.16___14:34:44 52      26    26    1.99    +++   0     
2.49    8.16___14:35:2  53      26    27    2.04    +++   1     
14.84   8.16___14:35:36 54      26    28    2.16    +++   2     
20.81   8.16___14:36:15 55      26    29    2.29    +++   3     
5.39    8.16___14:36:39 56      26    30    2.39    +++   4     
27.56   8.16___14:37:22 57      26    31    2.49    +++   5     
2.32    8.16___14:37:39 58      26    32    2.4     +++   6     
1.39    8.16___14:37:54 59      27    32    2.31    ---   5     
10.35   8.16___14:38:24 60      27    33    2.4     +++   6     
1.33    8.16___14:38:38 61      28    33    2.31    ---   5     
33.99   8.16___14:39:25 62      28    34    2.4     +++   6     
1       8.16___14:39:36 63      29    34    2.31    ---   5     
1.12    8.16___14:39:48 64      30    34    2.3     ---   4     
1.09    8.16___14:40:1  65      31    34    2.29    ---   3     
9.06    8.16___14:40:29 66      31    35    2.3     +++   4     
1.1     8.16___14:40:42 67      32    35    2.29    ---   3     
1.53    8.16___14:40:57 68      33    35    2.16    ---   2     
1.17    8.16___14:41:10 69      34    35    2.04    ---   1     
1.04    8.16___14:41:22 70      35    35    1.99    ---   0     
1.58    8.16___14:41:37 71      36    35    1.95    ---   -1    
1.44    8.16___14:41:52 72      37    35    1.91    ---   -2    
13.06   8.16___14:42:25 73      37    36    1.95    +++   -1    
2.27    8.16___14:42:42 74      37    37    1.99    +++   0     
1.04    8.16___14:42:54 75      38    37    1.95    ---   -1    
2.21    8.16___14:43:12 76      38    38    1.99    +++   0     
1.05    8.16___14:43:24 77      39    38    1.95    ---   -1    
1.07    8.16___14:43:36 78      40    38    1.91    ---   -2    
15.24   8.16___14:44:10 79      40    39    1.95    +++   -1    
1.27    8.16___14:44:24 80      41    39    1.91    ---   -2    
15.74   8.16___14:44:59 81      41    40    1.95    +++   -1    
3.78    8.16___14:45:20 82      41    41    1.99    +++   0     
4.37    8.16___14:45:42 83      41    42    2.04    +++   1     
1.11    8.16___14:45:55 84      42    42    1.99    ---   0     
5.62    8.16___14:46:19 85      42    43    2.04    +++   1     
1.16    8.16___14:46:32 86      43    43    1.99    ---   0     
10.91   8.16___14:47:2  87      43    44    2.04    +++   1     
1.39    8.16___14:47:17 88      44    44    1.99    ---   0     
1.45    8.16___14:47:32 89      45    44    1.95    ---   -1    
1       8.16___14:47:42 90      46    44    1.91    ---   -2    
6.6     8.16___14:48:8  91      46    45    1.95    +++   -1    
1.23    8.16___14:48:21 92      47    45    1.91    ---   -2    
3.16    8.16___14:48:41 93      47    46    1.95    +++   -1    
9.19    8.16___14:49:10 94      47    47    1.99    +++   0     
1.26    8.16___14:49:24 95      48    47    1.95    ---   -1    
1.01    8.16___14:49:35 96      49    47    1.91    ---   -2    
1.99    8.16___14:49:52 97      50    47    1.95    ---   -3    
1.36    8.16___14:50:6  98      51    47    1.91    ---   -4    
25.33   8.16___14:50:48 99      51    48    1.95    +++   -3    
1.37    8.16___14:51:2  100     52    48    1.91    ---   -4    
1.58    8.16___14:51:18 101     53    48    1.87    ---   -5    
1.01    8.16___14:51:29 102     54    48    1.86    ---   -6    
1.9     8.16___14:51:45 103     55    48    1.87    ---   -7    
6.93    8.16___14:52:11 104     55    49    1.88    +++   -6    
3.69    8.16___14:52:32 105     55    50    1.9     +++   -5    
2.35    8.16___14:52:50 106     55    51    1.92    +++   -4    
2.05    8.16___14:53:7  107     55    52    1.95    +++   -3    
1.93    8.16___14:53:24 108     56    52    1.94    ---   -4    
2.36    8.16___14:53:42 109     56    53    1.95    +++   -3    
2.36    8.16___14:54:0  110     56    54    1.97    +++   -2    
1.19    8.16___14:54:13 111     57    54    1.95    ---   -3    
5.53    8.16___14:54:37 112     57    55    1.97    +++   -2    
1.37    8.16___14:54:51 113     58    55    1.95    ---   -3    
1.33    8.16___14:55:6  114     59    55    1.94    ---   -4    
1.3     8.16___14:55:20 115     60    55    1.93    ---   -5    
4.22    8.16___14:55:42 116     60    56    1.94    +++   -4    
4.27    8.16___14:56:4  117     60    57    1.95    +++   -3    
1       8.16___14:56:14 118     61    57    1.94    ---   -4    
5.28    8.16___14:56:38 119     61    58    1.95    +++   -3    
3.63    8.16___14:56:59 120     61    59    1.97    +++   -2    
1.27    8.16___14:57:12 121     62    59    1.95    ---   -3    
8.01    8.16___14:57:40 122     62    60    1.97    +++   -2    
4.75    8.16___14:58:3  123     62    61    1.99    +++   -1    
2.42    8.16___14:58:21 124     62    62    2.01    +++   0     
1.06    8.16___14:58:33 125     63    62    1.99    ---   -1    
2.17    8.16___14:58:50 126     63    63    2.01    +++   0     
1.87    8.16___14:59:7  127     64    63    1.99    ---   -1    
1.27    8.16___14:59:20 128     65    63    1.97    ---   -2    
3.13    8.16___14:59:40 129     65    64    1.99    +++   -1    
