2.43 12:16:0:6 Нийт:0 X:0 W:1 Infinity +++
1.92 12:16:12:47 Нийт:42 X:22 W:21 3.15 ---
14.17 12:16:13:20 Нийт:43 X:22 W:22 3.41 +++
4.39 12:16:13:43 Нийт:44 X:22 W:23 3.43 +++
1.93 12:16:13:59 Нийт:45 X:23 W:23 3.4 ---
2.86 12:16:14:18 Нийт:46 X:23 W:24 3.38 +++
1.43 12:16:14:33 Нийт:47 X:24 W:24 3.34 ---
1.39 12:16:14:48 Нийт:48 X:25 W:24 3.3 ---
2.3 12:16:15:6 Нийт:49 X:25 W:25 3.28 +++
7.19 12:16:15:32 Нийт:50 X:25 W:26 3.36 +++
1.16 12:16:15:45 Нийт:51 X:26 W:26 3.32 ---
32.17 12:16:16:31 Нийт:52 X:26 W:27 3.87 +++
1 12:16:16:41 Нийт:53 X:27 W:27 3.82 ---
1.59 12:16:16:57 Нийт:54 X:28 W:27 3.78 ---
12.23 12:16:17:29 Нийт:55 X:28 W:28 3.93 +++
1.27 12:16:17:42 Нийт:56 X:29 W:28 3.88 ---
5.24 12:16:18:6 Нийт:57 X:29 W:29 3.91 +++
1.34 12:16:18:20 Нийт:58 X:30 W:29 3.86 ---
1.93 12:16:18:37 Нийт:59 X:31 W:29 3.83 ---
6.07 12:16:19:2 Нийт:60 X:31 W:30 3.87 +++
1.08 12:16:19:14 Нийт:61 X:32 W:30 3.82 ---
20.22 12:16:19:52 Нийт:62 X:32 W:31 4.08 +++
23.55 12:16:20:33 Нийт:63 X:32 W:32 4.39 +++
1.27 12:16:20:47 Нийт:64 X:33 W:32 4.34 ---
14.69 12:16:21:21 Нийт:65 X:33 W:33 4.5 +++
3.87 12:16:21:42 Нийт:66 X:33 W:34 4.49 +++
1.23 12:16:21:55 Нийт:67 X:34 W:34 4.44 ---
4.28 12:16:22:17 Нийт:68 X:34 W:35 4.44 +++
5.5 12:16:22:41 Нийт:69 X:34 W:36 4.46 +++
9.76 12:16:23:11 Нийт:70 X:34 W:37 4.53 +++
1.08 12:16:23:23 Нийт:71 X:35 W:37 4.48 ---
1.21 12:16:23:36 Нийт:72 X:36 W:37 4.44 ---
1.51 12:16:23:51 Нийт:73 X:37 W:37 4.4 ---
3.21 12:16:24:11 Нийт:74 X:37 W:38 4.38 +++
1.13 12:16:24:24 Нийт:75 X:38 W:38 4.34 ---
1.95 12:16:24:41 Нийт:76 X:39 W:38 4.31 ---
12.46 12:16:25:13 Нийт:77 X:39 W:39 4.41 +++
1.46 12:16:25:28 Нийт:78 X:40 W:39 4.38 ---
1.1 12:16:25:40 Нийт:79 X:41 W:39 4.33 ---
8.62 12:16:26:8 Нийт:80 X:41 W:40 4.39 +++
2.91 12:16:26:28 Нийт:81 X:41 W:41 4.37 +++
1.19 12:16:26:41 Нийт:82 X:42 W:41 4.33 ---
1.55 12:16:26:56 Нийт:83 X:43 W:41 4.3 ---
5.79 12:16:27:21 Нийт:84 X:43 W:42 4.31 +++
1.25 12:16:27:34 Нийт:85 X:44 W:42 4.28 ---
1.68 12:16:27:50 Нийт:86 X:45 W:42 4.25 ---
6.97 12:16:28:16 Нийт:87 X:45 W:43 4.28 +++
1.09 12:16:28:29 Нийт:88 X:46 W:43 4.24 ---
1.38 12:16:28:43 Нийт:89 X:47 W:43 4.21 ---
2.31 12:16:29:1 Нийт:90 X:47 W:44 4.19 +++
1 12:16:29:11 Нийт:91 X:48 W:44 4.15 ---
1 12:16:29:22 Нийт:92 X:49 W:44 4.12 ---
6.28 12:16:29:47 Нийт:93 X:49 W:45 4.14 +++
1.24 12:16:30:1 Нийт:94 X:50 W:45 4.11 ---
1.45 12:16:30:16 Нийт:95 X:51 W:45 4.08 ---
2.22 12:16:30:33 Нийт:96 X:51 W:46 4.06 +++
1.91 12:16:30:50 Нийт:97 X:52 W:46 4.04 ---
10.67 12:16:31:20 Нийт:98 X:52 W:47 4.11 +++
3.35 12:16:31:40 Нийт:99 X:52 W:48 4.1 +++
1.46 12:16:31:55 Нийт:100 X:53 W:48 4.08 ---
1.17 12:16:32:8 Нийт:101 X:54 W:48 4.05 ---
1.03 12:16:32:20 Нийт:102 X:55 W:48 4.02 ---
2.08 12:16:32:37 Нийт:103 X:55 W:49 4 +++
3.02 12:16:32:57 Нийт:104 X:55 W:50 3.99 +++
1.04 12:16:33:9 Нийт:105 X:56 W:50 3.96 ---
1.61 12:16:33:24 Нийт:106 X:57 W:50 3.94 ---
5.88 12:16:33:49 Нийт:107 X:57 W:51 3.96 +++
26.85 12:16:34:26 Нийт:108 X:57 W:52 4.17 +++
1.67 12:16:34:45 Нийт:109 X:58 W:52 4.15 ---
11.18 12:16:35:19 Нийт:110 X:58 W:53 4.21 +++
1.86 12:16:35:26 Нийт:111 X:59 W:53 4.19 ---
1.65 12:16:35:41 Нийт:112 X:60 W:53 4.17 ---
1.37 12:16:35:56 Нийт:113 X:61 W:53 4.14 ---
1.73 12:16:36:12 Нийт:114 X:62 W:53 4.12 ---
1.02 12:16:36:23 Нийт:115 X:63 W:53 4.09 ---
2.31 12:16:36:41 Нийт:116 X:63 W:54 4.08 +++
1.09 12:16:36:53 Нийт:117 X:64 W:54 4.05 ---
1 12:16:37:4 Нийт:118 X:65 W:54 4.03 ---
6.67 12:16:37:29 Нийт:119 X:65 W:55 4.05 +++
1.43 12:16:37:45 Нийт:120 X:66 W:55 4.03 ---
2.39 12:16:38:2 Нийт:121 X:66 W:56 4.01 +++
1 12:16:38:13 Нийт:122 X:67 W:56 3.99 ---
1.07 12:16:38:25 Нийт:123 X:68 W:56 3.96 ---
23.07 12:16:39:5 Нийт:124 X:68 W:57 4.12 +++
1.64 12:16:39:21 Нийт:125 X:69 W:57 4.1 ---
1.24 12:16:39:34 Нийт:126 X:70 W:57 4.08 ---
11.32 12:16:40:5 Нийт:127 X:70 W:58 4.13 +++
1.16 12:16:40:18 Нийт:128 X:71 W:58 4.11 ---
1.11 12:16:40:31 Нийт:129 X:72 W:58 4.09 ---
1 12:16:40:42 Нийт:130 X:73 W:58 4.06 ---
1.03 12:16:40:53 Нийт:131 X:74 W:58 4.04 ---
4.09 12:16:41:15 Нийт:132 X:74 W:59 4.04 +++
3.89 12:16:41:36 Нийт:133 X:74 W:60 4.04 +++
1.13 12:16:41:49 Нийт:134 X:75 W:60 4.02 ---
3.54 12:16:42:10 Нийт:135 X:75 W:61 4.01 +++
2.21 12:16:42:27 Нийт:136 X:75 W:62 4 +++
5.08 12:16:42:51 Нийт:137 X:75 W:63 4.01 +++
2.32 12:16:43:8 Нийт:138 X:75 W:64 4 +++
1.12 12:16:43:21 Нийт:139 X:76 W:64 3.97 ---
1.35 12:16:43:35 Нийт:140 X:77 W:64 3.96 ---
1.35 12:16:43:50 Нийт:141 X:78 W:64 3.94 ---
3.04 12:16:44:9 Нийт:142 X:78 W:65 3.93 +++
1.25 12:16:44:23 Нийт:143 X:79 W:65 3.91 ---
2.53 12:16:44:41 Нийт:144 X:79 W:66 3.9 +++
1.19 12:16:44:55 Нийт:145 X:80 W:66 3.88 ---
9.41 12:16:45:24 Нийт:146 X:80 W:67 3.92 +++
2.29 12:16:45:42 Нийт:147 X:80 W:68 3.91 +++
1.47 12:16:45:56 Нийт:148 X:81 W:68 3.89 ---
3.4 12:16:46:16 Нийт:149 X:81 W:69 3.89 +++
2.85 12:16:46:36 Нийт:150 X:81 W:70 3.88 +++
1 12:16:46:46 Нийт:151 X:82 W:70 3.86 ---
22.54 12:16:47:26 Нийт:152 X:82 W:71 3.99 +++
8.51 12:16:47:54 Нийт:153 X:82 W:72 4.02 +++
2.62 12:16:48:13 Нийт:154 X:82 W:73 4.01 +++
2.14 12:16:48:30 Нийт:155 X:82 W:74 4 +++
1.37 12:16:48:44 Нийт:156 X:83 W:74 3.98 ---
3.01 12:16:49:4 Нийт:157 X:83 W:75 3.97 +++
2.73 12:16:49:23 Нийт:158 X:83 W:76 3.96 +++
2.13 12:16:49:40 Нийт:159 X:83 W:77 3.95 +++
1.13 12:16:49:53 Нийт:160 X:84 W:77 3.94 ---
1.34 12:16:50:7 Нийт:161 X:85 W:77 3.92 ---
3.7 12:16:50:28 Нийт:162 X:85 W:78 3.92 +++
1.35 12:16:50:42 Нийт:163 X:86 W:78 3.9 ---
1.59 12:16:50:58 Нийт:164 X:87 W:78 3.89 ---
7.6 12:16:51:24 Нийт:165 X:87 W:79 3.91 +++
1.62 12:16:51:40 Нийт:166 X:88 W:79 3.9 ---
2.38 12:16:51:58 Нийт:167 X:88 W:80 3.89 +++
1.45 12:16:52:13 Нийт:168 X:89 W:80 3.87 ---
3.89 12:16:52:34 Нийт:169 X:89 W:81 3.87 +++
24.65 12:16:53:15 Нийт:170 X:89 W:82 4 +++
2.31 12:16:53:33 Нийт:171 X:89 W:83 3.99 +++
34.92 12:16:54:20 Нийт:172 X:89 W:84 4.17 +++
7.62 12:16:54:47 Нийт:173 X:89 W:85 4.19 +++
2.35 12:16:55:5 Нийт:174 X:89 W:86 4.17 +++
10.61 12:16:55:35 Нийт:175 X:89 W:87 4.21 +++
1.24 12:16:55:49 Нийт:176 X:90 W:87 4.19 ---
11.98 12:16:56:20 Нийт:177 X:90 W:88 4.24 +++
1.51 12:16:56:36 Нийт:178 X:91 W:88 4.22 ---
2 12:16:56:52 Нийт:179 X:91 W:89 4.21 +++
1.25 12:16:57:6 Нийт:180 X:92 W:89 4.19 ---
1.11 12:16:57:19 Нийт:181 X:93 W:89 4.18 ---
23.48 12:16:57:59 Нийт:182 X:93 W:90 4.28 +++
1.05 12:16:58:11 Нийт:183 X:94 W:90 4.27 ---
3.02 12:16:58:31 Нийт:184 X:94 W:91 4.26 +++
1.18 12:16:58:45 Нийт:185 X:95 W:91 4.24 ---
1.63 12:16:59:0 Нийт:186 X:96 W:91 4.23 ---
1.4 12:16:59:14 Нийт:187 X:97 W:91 4.21 ---
1.36 12:16:59:29 Нийт:188 X:98 W:91 4.2 ---
2.33 12:16:59:46 Нийт:189 X:98 W:92 4.19 +++
1.08 12:16:59:59 Нийт:190 X:99 W:92 4.17 ---
