1.73 12:15:0:11 Нийт:0 X:1 W:0 Infinity ---
3.75 12:15:25:56 Нийт:81 X:46 W:36 4.6 +++
2.73 12:15:26:15 Нийт:82 X:46 W:37 4.58 +++
14.34 12:15:26:49 Нийт:83 X:46 W:38 4.7 +++
1.2 12:15:27:2 Нийт:84 X:47 W:38 4.65 ---
1.69 12:15:27:18 Нийт:85 X:48 W:38 4.62 ---
5.51 12:15:27:42 Нийт:86 X:48 W:39 4.63 +++
1.07 12:15:27:54 Нийт:87 X:49 W:39 4.59 ---
2.13 12:15:28:11 Нийт:88 X:49 W:40 4.56 +++
1.17 12:15:28:25 Нийт:89 X:50 W:40 4.52 ---
1.17 12:15:28:38 Нийт:90 X:51 W:40 4.48 ---
1.11 12:15:28:50 Нийт:91 X:52 W:40 4.45 ---
1.11 12:15:29:3 Нийт:92 X:53 W:40 4.41 ---
1.52 12:15:29:18 Нийт:93 X:54 W:40 4.38 ---
1.31 12:15:29:32 Нийт:94 X:55 W:40 4.35 ---
2.04 12:15:29:49 Нийт:95 X:55 W:41 4.32 +++
1.02 12:15:30:1 Нийт:96 X:56 W:41 4.29 ---
1.15 12:15:30:14 Нийт:97 X:57 W:41 4.26 ---
1.22 12:15:30:27 Нийт:98 X:58 W:41 4.23 ---
1.09 12:15:30:40 Нийт:99 X:59 W:41 4.19 ---
1.41 12:15:30:54 Нийт:100 X:60 W:41 4.17 ---
1.41 12:15:31:9 Нийт:101 X:61 W:41 4.14 ---
1.07 12:15:31:21 Нийт:102 X:62 W:41 4.11 ---
2.83 12:15:31:40 Нийт:103 X:62 W:42 4.1 +++
1.08 12:15:31:53 Нийт:104 X:63 W:42 4.07 ---
3.08 12:15:32:12 Нийт:105 X:63 W:43 4.06 +++
1.33 12:15:32:42 Нийт:106 X:64 W:43 4.03 ---
2.25 12:15:33:0 Нийт:107 X:64 W:44 4.01 +++
1.52 12:15:33:15 Нийт:108 X:65 W:44 3.99 ---
1.41 12:15:33:30 Нийт:109 X:66 W:44 3.97 ---
3.55 12:15:33:50 Нийт:110 X:66 W:45 3.96 +++
1.54 12:15:34:5 Нийт:111 X:67 W:45 3.94 ---
1 12:15:34:16 Нийт:112 X:68 W:45 3.92 ---
13.21 12:15:34:49 Нийт:113 X:68 W:46 4 +++
31.19 12:15:35:34 Нийт:114 X:68 W:47 4.24 +++
1.16 12:15:35:47 Нийт:115 X:69 W:47 4.21 ---
1.25 12:15:36:1 Нийт:116 X:70 W:47 4.18 ---
20.86 12:15:36:39 Нийт:117 X:70 W:48 4.33 +++
2.24 12:15:36:57 Нийт:118 X:70 W:49 4.31 +++
3.27 12:15:37:17 Нийт:119 X:70 W:50 4.3 +++
1.9 12:15:37:34 Нийт:120 X:71 W:50 4.28 ---
1.48 12:15:37:48 Нийт:121 X:72 W:50 4.26 ---
24.96 12:15:38:30 Нийт:122 X:72 W:51 4.43 +++
1.72 12:15:38:46 Нийт:123 X:73 W:51 4.4 ---
1.09 12:15:38:58 Нийт:124 X:74 W:51 4.38 ---
2.55 12:15:39:17 Нийт:125 X:74 W:52 4.36 +++
1.76 12:15:39:33 Нийт:126 X:75 W:52 4.34 ---
1.74 12:15:39:49 Нийт:127 X:76 W:52 4.32 ---
2.13 12:15:40:6 Нийт:128 X:76 W:53 4.3 +++
1.66 12:15:40:22 Нийт:129 X:77 W:53 4.28 ---
1.46 12:15:40:37 Нийт:130 X:78 W:53 4.26 ---
1.09 12:15:40:49 Нийт:131 X:79 W:53 4.24 ---
1.11 12:15:41:2 Нийт:132 X:80 W:53 4.21 ---
2.8 12:15:41:21 Нийт:133 X:80 W:54 4.2 +++
13.02 12:15:41:53 Нийт:134 X:80 W:55 4.27 +++
1.98 12:15:42:10 Нийт:135 X:81 W:55 4.25 ---
6.51 12:15:42:35 Нийт:136 X:81 W:56 4.27 +++
2.91 12:15:42:55 Нийт:137 X:81 W:57 4.26 +++
14.44 12:15:43:28 Нийт:138 X:81 W:58 4.33 +++
1.21 12:15:43:42 Нийт:139 X:82 W:58 4.31 ---
1.01 12:15:43:53 Нийт:140 X:83 W:58 4.29 ---
1.28 12:15:44:7 Нийт:141 X:84 W:58 4.27 ---
1.01 12:15:44:18 Нийт:142 X:85 W:58 4.24 ---
1.27 12:15:44:32 Нийт:143 X:86 W:58 4.22 ---
21.3 12:15:45:11 Нийт:144 X:86 W:59 4.34 +++
3.69 12:15:45:32 Нийт:145 X:86 W:60 4.34 +++
1.71 12:15:45:48 Нийт:146 X:87 W:60 4.32 ---
1.43 12:15:46:2 Нийт:147 X:88 W:60 4.3 ---
1.89 12:15:46:19 Нийт:148 X:89 W:60 4.28 ---
2.02 12:15:46:36 Нийт:149 X:89 W:61 4.27 +++
1.64 12:15:46:51 Нийт:150 X:90 W:61 4.25 ---
1.05 12:15:47:3 Нийт:151 X:91 W:61 4.23 ---
1.89 12:15:47:20 Нийт:152 X:92 W:61 4.21 ---
1.32 12:15:47:34 Нийт:153 X:93 W:61 4.19 ---
1.34 12:15:47:48 Нийт:154 X:94 W:61 4.17 ---
1.1 12:15:48:1 Нийт:155 X:95 W:61 4.16 ---
20.35 12:15:48:39 Нийт:156 X:95 W:62 4.26 +++
1.52 12:15:48:54 Нийт:157 X:96 W:62 4.24 ---
2.72 12:15:49:13 Нийт:158 X:96 W:63 4.23 +++
1.32 12:15:49:27 Нийт:159 X:97 W:63 4.21 ---
1 12:15:49:38 Нийт:160 X:98 W:63 4.19 ---
23.73 12:15:50:18 Нийт:161 X:98 W:64 4.31 +++
2.8 12:15:50:37 Нийт:162 X:98 W:65 4.31 +++
1.5 12:15:50:53 Нийт:163 X:99 W:65 4.29 ---
17.86 12:15:51:29 Нийт:164 X:99 W:66 4.37 +++
1.16 12:15:51:42 Нийт:165 X:100 W:66 4.35 ---
1.35 12:15:51:56 Нийт:166 X:101 W:66 4.33 ---
1.35 12:15:52:11 Нийт:167 X:102 W:66 4.32 ---
4.01 12:15:52:32 Нийт:168 X:102 W:67 4.31 +++
2.36 12:15:52:50 Нийт:169 X:102 W:68 4.3 +++
1.26 12:15:53:4 Нийт:170 X:103 W:68 4.28 ---
32.49 12:15:53:50 Нийт:171 X:103 W:69 4.45 +++
3.65 12:15:54:11 Нийт:172 X:103 W:70 4.44 +++
2.25 12:15:54:28 Нийт:173 X:103 W:71 4.43 +++
3.93 12:15:54:50 Нийт:174 X:103 W:72 4.43 +++
1 12:15:55:0 Нийт:175 X:104 W:72 4.41 ---
1.43 12:15:55:15 Нийт:176 X:105 W:72 4.39 ---
1.26 12:15:55:29 Нийт:177 X:106 W:72 4.37 ---
1.77 12:15:55:45 Нийт:178 X:107 W:72 4.36 ---
17.82 12:15:56:21 Нийт:179 X:107 W:73 4.43 +++
1.84 12:15:56:38 Нийт:180 X:108 W:73 4.42 ---
4.18 12:15:56:59 Нийт:181 X:108 W:74 4.42 +++
13.6 12:15:57:32 Нийт:182 X:108 W:75 4.47 +++
1.33 12:15:57:47 Нийт:183 X:109 W:75 4.45 ---
2.4 12:15:58:5 Нийт:184 X:109 W:76 4.44 +++
1.07 12:15:58:17 Нийт:185 X:110 W:76 4.42 ---
1.3 12:15:58:31 Нийт:186 X:111 W:76 4.41 ---
2.95 12:15:58:50 Нийт:187 X:111 W:77 4.4 +++
1.4 12:15:59:5 Нийт:188 X:112 W:77 4.38 ---
1.37 12:15:59:19 Нийт:189 X:113 W:77 4.37 ---
1.38 12:15:59:34 Нийт:190 X:114 W:77 4.35 ---
1.41 12:15:59:48 Нийт:191 X:115 W:77 4.33 ---
